epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,63709.9,0.97368,3.37649,0.32156,0.80368,1.15551,0.88968,0.80935,0.91031,0.6941,0.84824,0.73977,0.79261,0.4834,0.85443,2.57331,0.30333,0.6377,1.05487,0.00208,0.00208,0.00208
82,65419.4,0.97188,3.36052,0.32018,0.80403,1.15521,0.88973,0.80904,0.91047,0.69423,0.84792,0.73904,0.79266,0.48356,0.85429,2.57012,0.30285,0.6373,1.05475,0.001981,0.001981,0.001981
83,67131.9,0.96598,3.33846,0.31919,0.79843,1.15304,0.88963,0.8103,0.91082,0.69458,0.84697,0.7404,0.79199,0.4846,0.8537,2.56619,0.30242,0.63733,1.05438,0.001882,0.001882,0.001882
84,68841.9,0.96598,3.32665,0.31864,0.79617,1.15214,0.88843,0.8103,0.91067,0.69434,0.84406,0.74197,0.79204,0.48488,0.85323,2.56201,0.30199,0.6367,1.05411,0.001783,0.001783,0.001783
85,70552.2,0.96658,3.33039,0.31791,0.79478,1.15281,0.8893,0.80998,0.91072,0.69489,0.8502,0.73693,0.79282,0.48549,0.8527,2.55929,0.30154,0.63598,1.05373,0.001684,0.001684,0.001684
86,72263,0.96357,3.31095,0.31765,0.79357,1.15013,0.88891,0.81001,0.91111,0.69522,0.85124,0.73869,0.79469,0.486,0.85206,2.55685,0.30117,0.63554,1.05339,0.001585,0.001585,0.001585
87,73972.9,0.95654,3.27965,0.31603,0.78775,1.1466,0.89135,0.80981,0.91144,0.69535,0.84783,0.74118,0.79498,0.48673,0.85101,2.55412,0.30083,0.63487,1.05268,0.001486,0.001486,0.001486
88,75682.7,0.95462,3.26137,0.31566,0.78331,1.14503,0.89,0.81093,0.91157,0.69566,0.84511,0.74323,0.79513,0.48744,0.84979,2.55058,0.30042,0.6339,1.05193,0.001387,0.001387,0.001387
89,77392.5,0.95398,3.24767,0.3144,0.78332,1.1466,0.89371,0.80856,0.91195,0.69625,0.84397,0.7478,0.79644,0.4879,0.84958,2.54821,0.30009,0.63363,1.05191,0.001288,0.001288,0.001288
90,79103.2,0.95216,3.23952,0.31454,0.77852,1.1439,0.89434,0.80885,0.91172,0.69597,0.84399,0.74795,0.79711,0.48843,0.84874,2.54589,0.29976,0.63296,1.05153,0.001189,0.001189,0.001189
91,80845.9,0.88686,2.73827,0.30738,0.67242,1.10158,0.89511,0.80904,0.91214,0.69664,0.84596,0.747,0.79673,0.48926,0.84822,2.54227,0.29932,0.63103,1.05136,0.00109,0.00109,0.00109
92,82550.7,0.877,2.707,0.30539,0.6594,1.09732,0.8957,0.8098,0.91255,0.69733,0.85019,0.74748,0.79817,0.4902,0.84687,2.5375,0.29872,0.62959,1.05063,0.000991,0.000991,0.000991
93,84257.5,0.87492,2.68288,0.304,0.65494,1.09466,0.89417,0.81187,0.91275,0.69813,0.85154,0.74769,0.79846,0.49109,0.84555,2.53215,0.29822,0.62871,1.0497,0.000892,0.000892,0.000892
94,85977,0.8685,2.64917,0.30253,0.64837,1.09243,0.89361,0.81321,0.91308,0.69877,0.8528,0.7479,0.79871,0.49186,0.84423,2.52608,0.29771,0.62753,1.0487,0.000793,0.000793,0.000793
95,87738.2,0.86349,2.63217,0.30117,0.64329,1.08834,0.89253,0.81518,0.9136,0.69937,0.8525,0.74669,0.79757,0.49226,0.84323,2.52161,0.29711,0.62634,1.04788,0.000694,0.000694,0.000694
96,89460.5,0.86113,2.6114,0.30066,0.63833,1.0863,0.89348,0.8161,0.91405,0.70011,0.85343,0.74711,0.79794,0.49355,0.84273,2.51833,0.29651,0.62571,1.04733,0.000595,0.000595,0.000595
97,91180.8,0.85551,2.5854,0.29998,0.63259,1.08336,0.89084,0.81707,0.91426,0.70031,0.85373,0.74764,0.79892,0.49436,0.84207,2.51484,0.29598,0.62499,1.04664,0.000496,0.000496,0.000496
98,92914.2,0.8486,2.55995,0.2981,0.62813,1.08017,0.88972,0.81754,0.91472,0.70083,0.85306,0.74763,0.799,0.49461,0.84171,2.51154,0.29549,0.62424,1.04607,0.000397,0.000397,0.000397
99,94651.7,0.84544,2.54275,0.29762,0.62136,1.07701,0.886,0.8198,0.91472,0.70129,0.85536,0.74732,0.79967,0.4948,0.84111,2.50992,0.29514,0.62286,1.04562,0.000298,0.000298,0.000298
100,96369.3,0.8451,2.53095,0.29651,0.62098,1.07788,0.88506,0.82187,0.91501,0.70163,0.85409,0.74738,0.7999,0.49584,0.84053,2.50667,0.29477,0.62216,1.04504,0.000199,0.000199,0.000199
