epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,6064.37,1.22759,1.04794,1.33056,0.94648,0.82805,0.92487,0.59764,1.28181,0.7299,1.48731,0.0010793,0.0010793,0.0010793
95,6128.8,1.24365,1.07908,1.34006,0.86975,0.8552,0.91807,0.5873,1.25186,0.73013,1.44668,0.0010694,0.0010694,0.0010694
96,6193.37,1.22624,1.07652,1.3269,0.9204,0.84615,0.9033,0.56269,1.28143,0.76632,1.48959,0.0010595,0.0010595,0.0010595
97,6257.91,1.22396,1.0722,1.32258,0.94875,0.83764,0.92184,0.60116,1.25936,0.73779,1.47111,0.0010496,0.0010496,0.0010496
98,6322.41,1.2253,1.05759,1.32499,0.92096,0.84363,0.93047,0.60284,1.24803,0.71671,1.45869,0.0010397,0.0010397,0.0010397
99,6386.82,1.20321,1.05422,1.32455,0.95413,0.84709,0.92495,0.59881,1.2507,0.74143,1.43097,0.0010298,0.0010298,0.0010298
100,6451.26,1.22636,1.06779,1.33387,0.93034,0.84611,0.92015,0.58335,1.26992,0.7301,1.45237,0.0010199,0.0010199,0.0010199
101,6515.65,1.2114,1.03713,1.31894,0.93887,0.8552,0.92519,0.60841,1.19965,0.73666,1.43492,0.00101,0.00101,0.00101
102,6580.1,1.21472,1.04772,1.32317,0.92916,0.84163,0.9242,0.58811,1.23301,0.70188,1.43143,0.0010001,0.0010001,0.0010001
103,6644.51,1.19463,1.03786,1.31627,0.92916,0.8371,0.92635,0.60094,1.22782,0.72172,1.45541,0.0009902,0.0009902,0.0009902
104,6709.25,1.19852,1.02233,1.31031,0.91257,0.85015,0.92742,0.60778,1.24658,0.72274,1.41592,0.0009803,0.0009803,0.0009803
105,6773.55,1.21354,1.05036,1.31971,0.91879,0.87031,0.92038,0.60976,1.22153,0.73523,1.41023,0.0009704,0.0009704,0.0009704
106,6837.9,1.18803,1.02016,1.30553,0.90922,0.86104,0.92785,0.60856,1.22604,0.70573,1.42861,0.0009605,0.0009605,0.0009605
107,6902.2,1.19805,1.00883,1.30585,0.92608,0.85027,0.92656,0.60491,1.24222,0.74412,1.43489,0.0009506,0.0009506,0.0009506
108,6966.61,1.19449,1.02828,1.30297,0.91225,0.8552,0.91099,0.59733,1.24968,0.73107,1.4289,0.0009407,0.0009407,0.0009407
109,7030.96,1.17769,0.98443,1.28358,0.89884,0.88449,0.91779,0.59892,1.25237,0.69229,1.46283,0.0009308,0.0009308,0.0009308
110,7095.42,1.18955,1.00229,1.28584,0.92474,0.8552,0.93449,0.59528,1.25534,0.67915,1.45985,0.0009209,0.0009209,0.0009209
111,7159.75,1.17849,1.00011,1.29095,0.91902,0.88688,0.93539,0.60014,1.26259,0.69326,1.44025,0.000911,0.000911,0.000911
112,7224.39,1.15923,0.99386,1.28349,0.91848,0.86672,0.92919,0.58435,1.29124,0.72526,1.49708,0.0009011,0.0009011,0.0009011
113,7288.88,1.18017,0.97603,1.27901,0.92368,0.82805,0.93018,0.60461,1.24802,0.72073,1.44979,0.0008912,0.0008912,0.0008912
114,7353.28,1.1494,0.95501,1.26237,0.91858,0.86783,0.92752,0.59913,1.2548,0.68772,1.46487,0.0008813,0.0008813,0.0008813
115,7417.95,1.18524,0.98591,1.29107,0.92089,0.8371,0.94548,0.62114,1.22287,0.68073,1.42629,0.0008714,0.0008714,0.0008714
116,7482.56,1.15833,0.97523,1.28247,0.93542,0.85207,0.93745,0.60369,1.25714,0.6865,1.44696,0.0008615,0.0008615,0.0008615
117,7547.03,1.16173,0.97431,1.28145,0.95561,0.83258,0.93009,0.60263,1.23144,0.67863,1.45904,0.0008516,0.0008516,0.0008516
118,7611.41,1.16292,0.96305,1.27079,0.92131,0.88235,0.9349,0.61243,1.23058,0.65648,1.44695,0.0008417,0.0008417,0.0008417
119,7675.87,1.15019,0.97175,1.2738,0.92432,0.86425,0.93539,0.60957,1.21395,0.64264,1.44847,0.0008318,0.0008318,0.0008318
120,7740.26,1.14637,0.9331,1.26095,0.92003,0.8914,0.94662,0.59785,1.2219,0.67957,1.44055,0.0008219,0.0008219,0.0008219
121,7804.74,1.13636,0.95696,1.26313,0.93674,0.87102,0.94892,0.61634,1.20448,0.67563,1.41247,0.000812,0.000812,0.000812
122,7869.02,1.12391,0.92602,1.2536,0.94989,0.85779,0.94769,0.61039,1.20654,0.65405,1.4267,0.0008021,0.0008021,0.0008021
