epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,11867.5,1.01385,0.88115,1.2303,0.92899,0.83416,0.92715,0.61326,1.17705,0.66745,1.42247,0.00073105,0.00073105,0.00073105
118,11951,1.00302,0.87755,1.22113,0.88511,0.84564,0.91676,0.61184,1.18564,0.73439,1.42192,0.00072011,0.00072011,0.00072011
119,12034.5,1.00124,0.87579,1.2184,0.90883,0.80281,0.91725,0.61385,1.15961,0.70827,1.39516,0.000709171,0.000709171,0.000709171
120,12117.9,1.01198,0.88954,1.22835,0.8884,0.82813,0.91637,0.61413,1.15645,0.67511,1.41023,0.000698232,0.000698232,0.000698232
121,12201.5,0.98729,0.87481,1.21917,0.89205,0.83893,0.91587,0.60851,1.12212,0.68709,1.38602,0.000687293,0.000687293,0.000687293
122,12285.2,0.99776,0.86216,1.22221,0.89853,0.83202,0.91878,0.61837,1.14319,0.68129,1.40087,0.000676354,0.000676354,0.000676354
123,12368.9,0.98794,0.85008,1.21245,0.87908,0.84899,0.92418,0.62424,1.15629,0.70161,1.39179,0.000665414,0.000665414,0.000665414
124,12452.1,0.97119,0.83447,1.20804,0.93444,0.81312,0.92292,0.61976,1.1618,0.73204,1.41016,0.000654475,0.000654475,0.000654475
125,12535.8,0.97023,0.83871,1.20691,0.91406,0.84228,0.92446,0.62068,1.162,0.66524,1.41804,0.000643536,0.000643536,0.000643536
126,12619.4,0.99336,0.85656,1.21153,0.91358,0.82886,0.91738,0.61646,1.16029,0.71937,1.4028,0.000632597,0.000632597,0.000632597
127,12702.9,0.98609,0.87109,1.21904,0.8956,0.83479,0.91048,0.6115,1.1473,0.70082,1.39695,0.000621657,0.000621657,0.000621657
128,12786.1,0.97255,0.85733,1.20917,0.91077,0.82205,0.9216,0.6325,1.12102,0.69526,1.37452,0.000610718,0.000610718,0.000610718
129,12869.8,0.97712,0.85361,1.20549,0.91364,0.81649,0.92476,0.63346,1.13159,0.68646,1.37613,0.000599779,0.000599779,0.000599779
130,12953.4,0.96874,0.83705,1.20051,0.91239,0.8255,0.92417,0.62745,1.13231,0.71109,1.39499,0.00058884,0.00058884,0.00058884
131,13037,0.97621,0.82706,1.20889,0.90405,0.8255,0.91968,0.62793,1.14405,0.69599,1.39727,0.000577901,0.000577901,0.000577901
132,13120.2,0.96068,0.82486,1.18903,0.9173,0.8189,0.91841,0.63156,1.13485,0.69768,1.36906,0.000566961,0.000566961,0.000566961
133,13203.8,0.94676,0.82043,1.19063,0.90346,0.84899,0.92477,0.63672,1.12709,0.641,1.36629,0.000556022,0.000556022,0.000556022
134,13287.3,0.96522,0.81516,1.19998,0.90115,0.84564,0.92956,0.63693,1.13479,0.64495,1.38345,0.000545083,0.000545083,0.000545083
135,13371,0.95154,0.80834,1.18997,0.92644,0.84529,0.92886,0.62802,1.17442,0.68447,1.39068,0.000534144,0.000534144,0.000534144
136,13454.5,0.94002,0.79637,1.18703,0.90141,0.84564,0.92458,0.63282,1.15188,0.6641,1.38169,0.000523204,0.000523204,0.000523204
137,13537.8,0.95225,0.80882,1.18677,0.9282,0.8255,0.91994,0.62808,1.15594,0.65451,1.39156,0.000512265,0.000512265,0.000512265
138,13621.5,0.94282,0.79103,1.18808,0.89203,0.84564,0.92205,0.63119,1.15635,0.65909,1.38466,0.000501326,0.000501326,0.000501326
139,13705.1,0.94314,0.8095,1.1857,0.89923,0.83846,0.91232,0.63111,1.1421,0.70125,1.38429,0.000490387,0.000490387,0.000490387
140,13788.7,0.95961,0.81165,1.20193,0.90402,0.85335,0.92711,0.63359,1.14489,0.67828,1.39371,0.000479448,0.000479448,0.000479448
141,13871.9,0.94205,0.80043,1.19261,0.89073,0.84798,0.92202,0.62284,1.153,0.68557,1.39228,0.000468508,0.000468508,0.000468508
142,13955.7,0.94591,0.78844,1.18347,0.91145,0.83221,0.91866,0.6328,1.13772,0.70053,1.37198,0.000457569,0.000457569,0.000457569
143,14039.2,0.92388,0.79368,1.17675,0.90163,0.86123,0.92643,0.63577,1.12621,0.67699,1.36626,0.00044663,0.00044663,0.00044663
144,14122.9,0.93192,0.78723,1.1746,0.89775,0.85906,0.92894,0.63681,1.12583,0.66887,1.36427,0.000435691,0.000435691,0.000435691
145,14206.3,0.9101,0.7561,1.16232,0.938,0.8123,0.92518,0.62625,1.15135,0.69308,1.3845,0.000424751,0.000424751,0.000424751
146,14290.1,0.92665,0.77908,1.17784,0.91981,0.84228,0.92387,0.62669,1.15411,0.676,1.39316,0.000413812,0.000413812,0.000413812
147,14374.1,0.92423,0.76444,1.17098,0.92929,0.83893,0.92462,0.63037,1.14081,0.65338,1.37855,0.000402873,0.000402873,0.000402873
148,14457.8,0.92155,0.78273,1.16931,0.89965,0.85906,0.92753,0.62626,1.15453,0.66064,1.39241,0.000391934,0.000391934,0.000391934
149,14540.9,0.93078,0.77644,1.16853,0.9129,0.83221,0.92597,0.6378,1.11442,0.65485,1.35923,0.000380994,0.000380994,0.000380994
150,14624.5,0.90423,0.75674,1.15963,0.93834,0.81707,0.92836,0.6349,1.11935,0.66002,1.36014,0.000370055,0.000370055,0.000370055
151,14708.2,0.90956,0.7731,1.16435,0.89026,0.84564,0.9309,0.63086,1.13205,0.65044,1.37802,0.000359116,0.000359116,0.000359116
152,14791.8,0.89349,0.75439,1.16395,0.88474,0.85235,0.92727,0.63,1.12206,0.64537,1.36358,0.000348177,0.000348177,0.000348177
153,14875.2,0.90574,0.75931,1.16261,0.90065,0.84564,0.91857,0.629,1.11287,0.66794,1.36471,0.000337238,0.000337238,0.000337238
154,14958.5,0.89354,0.76094,1.15297,0.90179,0.83893,0.91832,0.63231,1.12057,0.66279,1.371,0.000326298,0.000326298,0.000326298
155,15042.1,0.90114,0.74756,1.15588,0.89386,0.84564,0.9277,0.63461,1.11422,0.65141,1.3721,0.000315359,0.000315359,0.000315359
156,15125.7,0.90539,0.75874,1.15858,0.8957,0.84899,0.92929,0.63263,1.12181,0.65825,1.37509,0.00030442,0.00030442,0.00030442
157,15209.3,0.89889,0.7444,1.15735,0.90449,0.85806,0.93054,0.62822,1.12453,0.64426,1.38459,0.000293481,0.000293481,0.000293481
158,15292.6,0.88843,0.74201,1.14833,0.90653,0.84614,0.93069,0.63106,1.11758,0.64951,1.36732,0.000282541,0.000282541,0.000282541
159,15376.1,0.87929,0.72999,1.14855,0.91116,0.83557,0.9303,0.63662,1.1172,0.65982,1.36581,0.000271602,0.000271602,0.000271602
160,15459.7,0.90283,0.74596,1.15562,0.91933,0.83221,0.92659,0.63486,1.11997,0.65571,1.36783,0.000260663,0.000260663,0.000260663
